plant_id,companion,sentiment,reason
dill,cabbage,friend,Often recommended near brassicas.
dill,broccoli,friend,Good brassica companion.
dill,carrot,foe,Can interfere with carrot growth in some cases.
dill,tomato,neutral,Can be okay if not overcrowded.

parsley,tomato,friend,Can grow well near tomatoes in mixed beds.
parsley,asparagus,friend,Traditionally considered a strong companion.
parsley,carrot,friend,Often compatible in herb and vegetable beds.
parsley,lettuce,foe,Can compete in tighter spaces.
parsley,cucumber,neutral,Usually acceptable.

marigold,tomato,friend,Often planted nearby for pest-management support.
marigold,pepper,friend,Common companion flower in summer beds.
marigold,cucumber,friend,Often used nearby in mixed plantings.
marigold,bean,neutral,Usually fine and commonly tolerated.
marigold,cabbage,neutral,Often used nearby without issue.
